"Statistic","Month","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Mean Sale Price","2016M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","232277"
"Mean Sale Price","2016M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","221670"
"Mean Sale Price","2016M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","223844"
"Mean Sale Price","2016M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","220501"
"Mean Sale Price","2016M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","230105"
"Mean Sale Price","2017M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","224922"
"Mean Sale Price","2017M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","223347"
"Mean Sale Price","2017M03","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","216354"
"Mean Sale Price","2017M04","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","228219"
"Mean Sale Price","2017M05","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","223106"
"Mean Sale Price","2017M06","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","228395"
"Mean Sale Price","2017M07","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","246541"
"Mean Sale Price","2017M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","243033"
"Mean Sale Price","2017M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","250236"
"Mean Sale Price","2017M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","246258"
"Mean Sale Price","2017M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","247505"
"Mean Sale Price","2017M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","247832"
"Mean Sale Price","2018M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","239487"
"Mean Sale Price","2018M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","238763"
"Mean Sale Price","2018M03","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","255625"
"Mean Sale Price","2018M04","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","242957"
"Mean Sale Price","2018M05","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","239412"
"Mean Sale Price","2018M06","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","257212"
"Mean Sale Price","2018M07","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","256011"
"Mean Sale Price","2018M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","261710"
"Mean Sale Price","2018M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","261219"
"Mean Sale Price","2018M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","269875"
"Mean Sale Price","2018M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","248225"
"Mean Sale Price","2018M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","259565"
"Mean Sale Price","2019M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","259913"
"Mean Sale Price","2019M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","250307"
"Mean Sale Price","2019M03","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","239575"
"Mean Sale Price","2019M04","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","262878"
"Mean Sale Price","2019M05","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","251752"
"Mean Sale Price","2019M06","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","245888"
"Mean Sale Price","2019M07","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","259909"
"Mean Sale Price","2019M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","276116"
"Mean Sale Price","2019M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","262382"
"Mean Sale Price","2019M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","266444"
"Mean Sale Price","2019M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","260883"
"Mean Sale Price","2019M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","268486"
"Mean Sale Price","2020M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","252491"
"Mean Sale Price","2020M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","257938"
"Mean Sale Price","2020M03","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","278346"
"Mean Sale Price","2020M04","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","261961"
"Mean Sale Price","2020M05","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","246145"
"Mean Sale Price","2020M06","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","245647"
"Mean Sale Price","2020M07","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","253073"
"Mean Sale Price","2020M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","258661"
"Mean Sale Price","2020M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","250526"
"Mean Sale Price","2020M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","262798"
"Mean Sale Price","2020M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","277393"
"Mean Sale Price","2020M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","288486"
